t,v1,v2,v3,v4
9.749999999999999778e-01,1.009132454636342286e-03,8.517890773186413966e-01,6.761870948202409748e-01,4.670997207108811278e-01
9.799999999999999822e-01,6.668857307910083972e-03,8.506073834451914895e-01,6.814497294118948556e-01,4.671210462475065550e-01
9.849999999999999867e-01,5.054563190717344459e-03,8.497868909011260241e-01,6.846777153543466277e-01,4.623125726775824118e-01
9.899999999999999911e-01,6.152836622292263795e-03,8.511678440147310010e-01,6.859031565842007572e-01,4.611400029886639773e-01
9.949999999999999956e-01,3.339120177896685773e-03,8.504549105389983543e-01,6.890706659742339424e-01,4.574540109753973405e-01
1.000000000000000000e+00,9.623145161086029548e-03,8.490603322682078735e-01,6.927729961159987404e-01,4.525977790636842024e-01
1.004999999999999893e+00,1.059596715081298490e-02,8.517842774410991913e-01,6.995655573790119375e-01,4.472236293069982160e-01
1.010000000000000009e+00,5.118637965286921242e-03,8.502958966603154645e-01,7.065952595120265078e-01,4.449791655578966831e-01
1.014999999999999902e+00,8.800349419065583295e-03,8.520168172873747725e-01,7.051890624709638011e-01,4.420480413432287259e-01
1.020000000000000018e+00,7.641332295080377479e-03,8.470711726496379379e-01,7.098591657261222876e-01,4.369609325976441250e-01
1.024999999999999911e+00,1.001432097183050166e-02,8.478205715903085471e-01,7.207282723693008153e-01,4.292497150746606982e-01
1.030000000000000027e+00,8.758746350721524285e-03,8.428832970315390805e-01,7.226090387953952865e-01,4.258669028683714775e-01
1.034999999999999920e+00,1.642370708391978698e-02,8.477485888834495054e-01,7.304130625206373129e-01,4.207499140148577843e-01
1.040000000000000036e+00,1.233811855008436556e-02,8.457522457365349577e-01,7.407567635471682399e-01,4.128097959508268411e-01
1.044999999999999929e+00,1.547684514818513553e-02,8.484698039514598777e-01,7.472657936442245186e-01,4.091029981005783189e-01
1.050000000000000044e+00,1.908871397397671893e-02,8.485033918483130266e-01,7.541030904078100949e-01,3.979148867937191691e-01
1.054999999999999938e+00,1.905113768089217868e-02,8.457504133798710022e-01,7.661812161368860563e-01,3.953243660322823816e-01
1.060000000000000053e+00,2.239226590661493044e-02,8.461876256423511711e-01,7.708040509302725996e-01,3.821659485278884327e-01
1.064999999999999947e+00,2.455338936612571840e-02,8.416942994328813210e-01,7.863047162858292083e-01,3.794935824938981406e-01
1.070000000000000062e+00,2.853027955452445280e-02,8.390860415062837419e-01,7.916588607330677929e-01,3.672063913834884286e-01
1.074999999999999956e+00,2.990148092370548127e-02,8.424380343912393210e-01,8.041455441861015130e-01,3.576907196652838183e-01
1.080000000000000071e+00,3.516322100446521437e-02,8.396455205761043095e-01,8.138061415171062851e-01,3.479223604555629068e-01
1.084999999999999964e+00,3.979596549066976435e-02,8.368133188183385363e-01,8.281399164319013240e-01,3.387877587225444076e-01
1.090000000000000080e+00,4.410952086796918886e-02,8.320963997607142559e-01,8.349479062409411734e-01,3.253168758260721605e-01
1.094999999999999973e+00,4.987692568485672245e-02,8.318386430373744256e-01,8.468665765094098852e-01,3.146198756745921532e-01
1.100000000000000089e+00,5.460573428074644992e-02,8.277601724802077232e-01,8.617053000371055482e-01,3.032871368785790001e-01
1.104999999999999982e+00,6.259066496718426742e-02,8.280902459089405365e-01,8.754845873666122769e-01,2.944272348138982642e-01
1.110000000000000098e+00,6.681560662188325284e-02,8.136633112995277362e-01,8.846030750279193500e-01,2.828472921330375534e-01
1.114999999999999991e+00,7.407272711732226789e-02,8.120817344392018411e-01,8.977035354128238831e-01,2.730714639738145988e-01
1.120000000000000107e+00,8.042667719105631163e-02,8.113190476267370110e-01,9.116335272276194779e-01,2.552450474886535092e-01
1.125000000000000000e+00,8.865843492397727788e-02,8.058265367233151677e-01,9.223331719423984998e-01,2.470759418872979507e-01
1.129999999999999893e+00,9.570026502572812066e-02,7.992552429380144208e-01,9.364975206314606337e-01,2.331728562597668031e-01
1.135000000000000009e+00,1.083632548279484936e-01,7.920333779302348720e-01,9.447079616327521689e-01,2.268590424744278966e-01
1.139999999999999902e+00,1.147301689652413387e-01,7.843801222897510694e-01,9.587931689114203015e-01,2.112410061174589682e-01
1.145000000000000018e+00,1.258187007072421593e-01,7.816907745421655118e-01,9.743424414249983734e-01,1.945370497964769851e-01
1.149999999999999911e+00,1.389403877928810649e-01,7.729526511427112778e-01,9.857322295168530202e-01,1.840942599960906367e-01
1.155000000000000027e+00,1.505632053016970062e-01,7.631112841771178212e-01,9.958306439108937091e-01,1.689157886673277875e-01
