t,v1,v2,v3,v4
9.200000000000000400e-01,1.095678935143896471e+00,1.367751821460926609e-01,1.307882953340585352e+00,2.120074006428719349e-01
9.250000000000000444e-01,1.089757543572367648e+00,1.379310548118030388e-01,1.302280435732718011e+00,2.136628870184939244e-01
9.300000000000000488e-01,1.088826417675933023e+00,1.362934086136660949e-01,1.295565763478250698e+00,2.189007362630320253e-01
9.350000000000000533e-01,1.089151684182529278e+00,1.340662142381924549e-01,1.289218722294325881e+00,2.180153978151131156e-01
9.399999999999999467e-01,1.084712504192027804e+00,1.333838870513142649e-01,1.288865380896409452e+00,2.151280375158304836e-01
9.449999999999999512e-01,1.087264466508320426e+00,1.332696155712733421e-01,1.284394724321705317e+00,2.200293623003607146e-01
9.499999999999999556e-01,1.085383085933108394e+00,1.312706005110887142e-01,1.281388612499364088e+00,2.194752093228913847e-01
9.549999999999999600e-01,1.088403303014247037e+00,1.356191421445453738e-01,1.282816157784592237e+00,2.177675014300362588e-01
9.599999999999999645e-01,1.087805723101837208e+00,1.354828517600695503e-01,1.280693236270096902e+00,2.199313820070166459e-01
9.649999999999999689e-01,1.080675053947774078e+00,1.308322176806672732e-01,1.280750340725080427e+00,2.184630355911336419e-01
9.699999999999999734e-01,1.086686016618214401e+00,1.342982351589417644e-01,1.283595683454083147e+00,2.192566515132785554e-01
9.749999999999999778e-01,1.084163379002667016e+00,1.346847133200172464e-01,1.282539604678806455e+00,2.196638737200028724e-01
9.799999999999999822e-01,1.090704620817375403e+00,1.345434866383292127e-01,1.289308359962548556e+00,2.208846352944481284e-01
9.849999999999999867e-01,1.090199148938256757e+00,1.350604754890801229e-01,1.294455423448898079e+00,2.176040715372475898e-01
9.899999999999999911e-01,1.092625706334132474e+00,1.380875901429333419e-01,1.298017414511085432e+00,2.182911944261187176e-01
9.949999999999999956e-01,1.091349296504411370e+00,1.393429222861254646e-01,1.303943156368397416e+00,2.167996781465130751e-01
1.000000000000000000e+00,1.099366550486137628e+00,1.402539120232260128e-01,1.310829275574239006e+00,2.144753710944597436e-01
1.004999999999999893e+00,1.102252704566055730e+00,1.456377035605654346e-01,1.321234683053018832e+00,2.119728969511589789e-01
1.010000000000000009e+00,1.098850222978527746e+00,1.471821905862711888e-01,1.332309372817378046e+00,2.129417627886375786e-01
1.014999999999999902e+00,1.104746901778206558e+00,1.523294856177460355e-01,1.335382923980708014e+00,2.135670887492003844e-01
1.020000000000000018e+00,1.105918738191860262e+00,1.512259089952014690e-01,1.344969635314625434e+00,2.123805385267040768e-01
1.024999999999999911e+00,1.110711376840163300e+00,1.562569024353721026e-01,1.361193728743281817e+00,2.089144506065294948e-01
1.030000000000000027e+00,1.111934296486366547e+00,1.560661552489425730e-01,1.368868732698733215e+00,2.101212269011704381e-01
1.034999999999999920e+00,1.122103788376892952e+00,1.661697980486624149e-01,1.382906398131250603e+00,2.099375450217892125e-01
1.040000000000000036e+00,1.120513126729812958e+00,1.699318979564848342e-01,1.399922502906922883e+00,2.072730273069610385e-01
1.044999999999999929e+00,1.126098738078906258e+00,1.789575135817812468e-01,1.413541179376426760e+00,2.091819542934532650e-01
1.050000000000000044e+00,1.132068268689910617e+00,1.858794072345748560e-01,1.427922882487627332e+00,2.039467183173599152e-01
1.054999999999999938e+00,1.134255278999381167e+00,1.906265686399158943e-01,1.447976639091393514e+00,2.076423813218597481e-01
1.060000000000000053e+00,1.139641485581966762e+00,1.992081145229690764e-01,1.461001648557695543e+00,2.010986819188662067e-01
1.064999999999999947e+00,1.143619275825722648e+00,2.035362534430604498e-01,1.485325111801613529e+00,2.053637978843722289e-01
1.070000000000000062e+00,1.149133179266601301e+00,2.104598948645036716e-01,1.499915421170870733e+00,2.003300220353378958e-01
1.074999999999999956e+00,1.151708313358092095e+00,2.240876588448655893e-01,1.522042948907163851e+00,1.983757453967753825e-01
1.080000000000000071e+00,1.157785469935230793e+00,2.323481138687102099e-01,1.541738855806070063e+00,1.964676243466066119e-01
1.084999999999999964e+00,1.162787870025122183e+00,2.413790315105361073e-01,1.566490572378035795e+00,1.954817263677421368e-01
1.090000000000000080e+00,1.166966490040796556e+00,2.493676862625086865e-01,1.584085594413964015e+00,1.904363411207782297e-01
1.094999999999999973e+00,1.172034200700416973e+00,2.626893240961943876e-01,1.607145053331522355e+00,1.884286180967133240e-01
1.100000000000000089e+00,1.175437322492179915e+00,2.730941979902808958e-01,1.633461117212910541e+00,1.860345362194734398e-01
1.104999999999999982e+00,1.181408569420865362e+00,2.888401487752337293e-01,1.659035151253390739e+00,1.863468503082130745e-01
1.110000000000000098e+00,1.182869374444475596e+00,2.907883451929111907e-01,1.680244645386573810e+00,1.841554139200147211e-01
1.114999999999999991e+00,1.186549339157078942e+00,3.065656906233094614e-01,1.705709174564154607e+00,1.839656457831584657e-01
1.120000000000000107e+00,1.188450800125626872e+00,3.241677486048304968e-01,1.732251012222735032e+00,1.759026303628807297e-01
1.125000000000000000e+00,1.191293055497718134e+00,3.380650072358004632e-01,1.755782883920369519e+00,1.776525796167634785e-01
1.129999999999999893e+00,1.191947724169318823e+00,3.519245618172112122e-01,1.782970327054688831e+00,1.738010539990857417e-01
1.135000000000000009e+00,1.197166697135909841e+00,3.661872174657108125e-01,1.804363108534169147e+00,1.776467207144788174e-01
1.139999999999999902e+00,1.194975420363232566e+00,3.810809850446043590e-01,1.831756201627515734e+00,1.722701027891302694e-01
1.145000000000000018e+00,1.196336584135939685e+00,4.020059409583805476e-01,1.860703173496840224e+00,1.658621737676614083e-01
1.149999999999999911e+00,1.198509483384103458e+00,4.179498547378723838e-01,1.885542780483148162e+00,1.657414095751035266e-01
1.155000000000000027e+00,1.197913057844398388e+00,4.338541346279263800e-01,1.909103567564719217e+00,1.608811489335228995e-01
